,Title,platform,release_date,summary,meta_score,user_review
0,Pokemon Mystery Dungeon: Explorers of Darkness,DS,2008-04-20,"In this pair of action-packed adventures, players journey as actual Pokemon through a fantastic land untouched by humans. Before the game starts, players take a test to help them figure out which of 16 Pokemon best represents their personalities. Players then experience their adventure through the eyes of a Pokemon as they explore the land and embark on an epic journey through time and darkness. They talk and team up with other Pokemon to set out on an epic voyage while navigating an endless array of randomly generated dungeons. More than 490 Pokemon populate these new games, guaranteeing strategic, intense battles and infinite possibilities, no matter which Pokemon players become. To widen their circle of Pokemon friends, Nintendo Wi-Fi Connection lets users engage in wireless rescue operations and send alerts to their friends via e-mail or mobile text message. [Nintendo]",59,8.5
1,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,2010-10-25,"Known as ZettaiHero Keikakuin Japan, Z.H.P. is the only turn based strategy RPG that allows you to create your own, one and only super hero to fight vicious(?) villains. Players can create a super hero literally from head to toe. If you wish to use drills instead of hands or wheels instead of legs you can do so by simply swapping out your body parts. Battle maps are all randomly generated for mad replay value and there are tons of character and secret base customization. Z.H.P. gives you the chance to relive your childhood fantasy of making your own superhero and superhero base.",81,9.7
2,Elemental Gearbolt,PlayStation,1998-06-30,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace. One or two players can assume the identities of these Elementals as they crusade for an unknown master toward a climactic battle. The gripping story unfolds by means of heart-stopping fully-3D action levels interspersed with gorgeous hand-drawn animation scenes. This is the game for which VISA was invented--what are you waiting for?",76,tbd
3,King Arthur,Xbox,2004-11-16,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",61,tbd
4,King Arthur,GameCube,2004-11-18,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",60,tbd
5,King Arthur,PlayStation 2,2004-11-17,"The King Arthur video game is inspired by the epic true story that gave rise to the King Arthur legend. The real story of King Arthur will be played out with intense battles, innovative combat and realistic environments. The game will immerse fans into the lush environments and vivid scenery from the feature film. Players take control of the motion picture's heroes – Arthur, Lancelot, Guinevere, Tristren or Bors – and utilize their unique skills as they embark on a perilous mission revealing the historic tale of the real Knights of the Round Table. Featuring single or cooperative play, combat on horseback and multiple mission types with diverse goals, the King Arthur video game will provide a cinematic action adventure experience of epic scale. [Konami]",59,8.3
6,Rainswept,PC,2019-02-01,"Rainswept is an adventure game - A murder mystery dealing with themes of love, relationships and unresolved trauma.",67,6.8
7,Seek and Destroy,PlayStation 2,2002-12-11,"Command over 100 tanks, all based on actual military models from around the world with this budget title. Customize and conquer. Choose from hundreds of parts and dozens of weapons, including missile launchers, amphibious rigs and even aerial combat gear. Take on 25 intense missions that take you from the frozen plains of Eastern Europe to the deserts of Africa. Engage in 2-player arena battles, surprizing mini-missions and fierce boss battles.",63,8.9
8,Kingdom Hearts HD 2.5 ReMIX,PlayStation 3,2014-12-02,KINGDOM HEARTS HD 2.5 ReMIX is an HD remastered compilation of KINGDOM HEARTS II FINAL MIX and KINGDOM HEARTS Birth by Sleep FINAL MIX.,81,8.9
9,Happy Wars,Xbox 360,2012-10-12,"Happy Wars is a casual multi-player action game in which a large number of players control comical characters in fun battles. In a variety of fantasy battlefields including grasslands, a dark world, and the ocean floor, players can control any of 3 types of characters: warrior, mage, and cleric. Cooperate with friends to enjoy action on the grand scale, casting magic spells, attacking castles, and so on. For off-line fun, the player can take on missions in the solo campaign mode.",61,7.0
10,Omen of Sorrow,PlayStation 4,2018-11-06,"Clear your mind, clench your fists and get ready for a wicked battle. Powered by Unreal Engine 4, Omen of Sorrow delivers a deep 2D battle system inspired by the classics, bringing back the edge, mindset and philosophy rooted in the genre’s arcade legacy, taking it to the next level with innovative features and fighting mechanics. Join the battle, conquer darkness.",64,5.0
11,Cake Mania,3DS,2007-04-09,"Based on the hit online game from Sandlot Games, Cake Mania for the Nintendo DS translates this fast-paced culinary crisis into a Touch Screen experience. Wait for customer requests, bake their cakes, ice and decorate them, then hand them out and collect your cash. Serve up seasonal confectionary delights to a variety of customers and see if you have what it takes to save the Evans' Bakery! [Majesco]",55,6.1
12,Star Wars Jedi Knight II: Jedi Outcast,PC,2002-03-26,"Several years have passed since Kyle Katarn avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. Allowing his Force powers to languish for fear of falling to the Dark side, Kyle set aside his lightsaber, vowing never to use it again. But when a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. Players assume the role of Kyle as they employ a unique mix of weapons, Force powers and your lightsaber in both single- and multiplayer modes of first-person action. [LucasArts]",89,8.7
13,Star Wars Jedi Knight II: Jedi Outcast,Xbox,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",81,6.1
14,Star Wars Jedi Knight II: Jedi Outcast,GameCube,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",75,8.2
15,Star Wars Jedi Knight II: Jedi Outcast,Switch,2019-09-24,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",64,5.7
