,Title,platform,release_date,summary,meta_score,user_review,Wikipedia,Genre,Modes
0,Pokemon Mystery Dungeon: Explorers of Darkness,DS,2008-04-20,"In this pair of action-packed adventures, players journey as actual Pokemon through a fantastic land untouched by humans. Before the game starts, players take a test to help them figure out which of 16 Pokemon best represents their personalities. Players then experience their adventure through the eyes of a Pokemon as they explore the land and embark on an epic journey through time and darkness. They talk and team up with other Pokemon to set out on an epic voyage while navigating an endless array of randomly generated dungeons. More than 490 Pokemon populate these new games, guaranteeing strategic, intense battles and infinite possibilities, no matter which Pokemon players become. To widen their circle of Pokemon friends, Nintendo Wi-Fi Connection lets users engage in wireless rescue operations and send alerts to their friends via e-mail or mobile text message. [Nintendo]",59,8.5,,,[]
1,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,2010-10-25,"Known as ZettaiHero Keikakuin Japan, Z.H.P. is the only turn based strategy RPG that allows you to create your own, one and only super hero to fight vicious(?) villains. Players can create a super hero literally from head to toe. If you wish to use drills instead of hands or wheels instead of legs you can do so by simply swapping out your body parts. Battle maps are all randomly generated for mad replay value and there are tons of character and secret base customization. Z.H.P. gives you the chance to relive your childhood fantasy of making your own superhero and superhero base.",81,9.7,,,[]
2,Elemental Gearbolt,PlayStation,1998-06-30,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace. One or two players can assume the identities of these Elementals as they crusade for an unknown master toward a climactic battle. The gripping story unfolds by means of heart-stopping fully-3D action levels interspersed with gorgeous hand-drawn animation scenes. This is the game for which VISA was invented--what are you waiting for?",76,tbd,"Elemental Gearbolt, full title Genseikyokō Seireikidōdan Elemental Gearbolt (幻世虚構 精霊機導弾 Elemental Gearbolt), is a light gun shooter for the Sony PlayStation. Developed by Alfa System, the game was published by Sony Computer Entertainment and released in Japan during holiday season of 1997. Working Designs licensed the game for the North American market and released it on June 30, 1998.
Elemental Gearbolt was critically well received due to its science fantasy setting, which is uncommon in light gun shooters, along with its incorporation of RPG elements, and particularly the artistry of its presentation. It features an orchestral soundtrack, and animated cutscenes directed by the anime director Rintaro.

",Light gun shooter,"['Single-player', 'multiplayer']"
3,King Arthur,Xbox,2004-11-16,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",61,tbd,"King Arthur (Welsh: Brenin Arthur, Cornish: Arthur Gernow, Breton: Roue Arzhur, French: Roi Arthur) is a legendary king of Britain, and a central figure in the medieval literary tradition known as the Matter of Britain.
In Welsh sources, Arthur is portrayed as a leader of the post-Roman Britons in battles against Anglo-Saxon invaders of Britain in the late 5th and early 6th centuries. He first appears in two early medieval historical sources, the Annales Cambriae and the Historia Brittonum, but these date to 300 years after he is supposed to have lived, and most historians who study the period do not consider him a historical figure. His name also occurs in early Welsh poetic sources such as Y Gododdin. The character developed through Welsh mythology, appearing either as a great warrior defending Britain from human and supernatural enemies or as a magical figure of folklore, sometimes associated with the Welsh otherworld Annwn.The legendary Arthur developed as a figure of international interest largely through the popularity of Geoffrey of Monmouth's fanciful and imaginative 12th-century Historia Regum Britanniae (History of the Kings of Britain). Geoffrey depicted Arthur as a king of Britain who defeated the Saxons and established a vast empire. Many elements and incidents that are now an integral part of the Arthurian story appear in Geoffrey's Historia, including Arthur's father Uther Pendragon, the magician Merlin, Arthur's wife Guinevere, the sword Excalibur, Arthur's conception at Tintagel, his final battle against Mordred at Camlann, and final rest in Avalon. The 12th-century French writer Chrétien de Troyes, who added Lancelot and the Holy Grail to the story, began the genre of Arthurian romance that became a significant strand of medieval literature. In these French stories, the narrative focus often shifts from King Arthur himself to other characters, such as various Knights of the Round Table. The themes, events and characters of the Arthurian legend vary widely from text to text, and there is no one canonical version. Arthurian literature thrived during the Middle Ages but waned in the centuries that followed, until it experienced a major resurgence in the 19th century. In the 21st century, the legend continues to have prominence, not only in literature but also in adaptations for theatre, film, television, comics and other media.

",,[]
4,King Arthur,GameCube,2004-11-18,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",60,tbd,"King Arthur (Welsh: Brenin Arthur, Cornish: Arthur Gernow, Breton: Roue Arzhur, French: Roi Arthur) is a legendary king of Britain, and a central figure in the medieval literary tradition known as the Matter of Britain.
In Welsh sources, Arthur is portrayed as a leader of the post-Roman Britons in battles against Anglo-Saxon invaders of Britain in the late 5th and early 6th centuries. He first appears in two early medieval historical sources, the Annales Cambriae and the Historia Brittonum, but these date to 300 years after he is supposed to have lived, and most historians who study the period do not consider him a historical figure. His name also occurs in early Welsh poetic sources such as Y Gododdin. The character developed through Welsh mythology, appearing either as a great warrior defending Britain from human and supernatural enemies or as a magical figure of folklore, sometimes associated with the Welsh otherworld Annwn.The legendary Arthur developed as a figure of international interest largely through the popularity of Geoffrey of Monmouth's fanciful and imaginative 12th-century Historia Regum Britanniae (History of the Kings of Britain). Geoffrey depicted Arthur as a king of Britain who defeated the Saxons and established a vast empire. Many elements and incidents that are now an integral part of the Arthurian story appear in Geoffrey's Historia, including Arthur's father Uther Pendragon, the magician Merlin, Arthur's wife Guinevere, the sword Excalibur, Arthur's conception at Tintagel, his final battle against Mordred at Camlann, and final rest in Avalon. The 12th-century French writer Chrétien de Troyes, who added Lancelot and the Holy Grail to the story, began the genre of Arthurian romance that became a significant strand of medieval literature. In these French stories, the narrative focus often shifts from King Arthur himself to other characters, such as various Knights of the Round Table. The themes, events and characters of the Arthurian legend vary widely from text to text, and there is no one canonical version. Arthurian literature thrived during the Middle Ages but waned in the centuries that followed, until it experienced a major resurgence in the 19th century. In the 21st century, the legend continues to have prominence, not only in literature but also in adaptations for theatre, film, television, comics and other media.

",,[]
5,King Arthur,PlayStation 2,2004-11-17,"The King Arthur video game is inspired by the epic true story that gave rise to the King Arthur legend. The real story of King Arthur will be played out with intense battles, innovative combat and realistic environments. The game will immerse fans into the lush environments and vivid scenery from the feature film. Players take control of the motion picture's heroes – Arthur, Lancelot, Guinevere, Tristren or Bors – and utilize their unique skills as they embark on a perilous mission revealing the historic tale of the real Knights of the Round Table. Featuring single or cooperative play, combat on horseback and multiple mission types with diverse goals, the King Arthur video game will provide a cinematic action adventure experience of epic scale. [Konami]",59,8.3,"King Arthur (Welsh: Brenin Arthur, Cornish: Arthur Gernow, Breton: Roue Arzhur, French: Roi Arthur) is a legendary king of Britain, and a central figure in the medieval literary tradition known as the Matter of Britain.
In Welsh sources, Arthur is portrayed as a leader of the post-Roman Britons in battles against Anglo-Saxon invaders of Britain in the late 5th and early 6th centuries. He first appears in two early medieval historical sources, the Annales Cambriae and the Historia Brittonum, but these date to 300 years after he is supposed to have lived, and most historians who study the period do not consider him a historical figure. His name also occurs in early Welsh poetic sources such as Y Gododdin. The character developed through Welsh mythology, appearing either as a great warrior defending Britain from human and supernatural enemies or as a magical figure of folklore, sometimes associated with the Welsh otherworld Annwn.The legendary Arthur developed as a figure of international interest largely through the popularity of Geoffrey of Monmouth's fanciful and imaginative 12th-century Historia Regum Britanniae (History of the Kings of Britain). Geoffrey depicted Arthur as a king of Britain who defeated the Saxons and established a vast empire. Many elements and incidents that are now an integral part of the Arthurian story appear in Geoffrey's Historia, including Arthur's father Uther Pendragon, the magician Merlin, Arthur's wife Guinevere, the sword Excalibur, Arthur's conception at Tintagel, his final battle against Mordred at Camlann, and final rest in Avalon. The 12th-century French writer Chrétien de Troyes, who added Lancelot and the Holy Grail to the story, began the genre of Arthurian romance that became a significant strand of medieval literature. In these French stories, the narrative focus often shifts from King Arthur himself to other characters, such as various Knights of the Round Table. The themes, events and characters of the Arthurian legend vary widely from text to text, and there is no one canonical version. Arthurian literature thrived during the Middle Ages but waned in the centuries that followed, until it experienced a major resurgence in the 19th century. In the 21st century, the legend continues to have prominence, not only in literature but also in adaptations for theatre, film, television, comics and other media.

",,[]
6,Rainswept,PC,2019-02-01,"Rainswept is an adventure game - A murder mystery dealing with themes of love, relationships and unresolved trauma.",67,6.8,,,[]
7,Seek and Destroy,PlayStation 2,2002-12-11,"Command over 100 tanks, all based on actual military models from around the world with this budget title. Customize and conquer. Choose from hundreds of parts and dozens of weapons, including missile launchers, amphibious rigs and even aerial combat gear. Take on 25 intense missions that take you from the frozen plains of Eastern Europe to the deserts of Africa. Engage in 2-player arena battles, surprizing mini-missions and fierce boss battles.",63,8.9,,,[]
8,Kingdom Hearts HD 2.5 ReMIX,PlayStation 3,2014-12-02,KINGDOM HEARTS HD 2.5 ReMIX is an HD remastered compilation of KINGDOM HEARTS II FINAL MIX and KINGDOM HEARTS Birth by Sleep FINAL MIX.,81,8.9,,Action role-playing,['Single-player']
9,Happy Wars,Xbox 360,2012-10-12,"Happy Wars is a casual multi-player action game in which a large number of players control comical characters in fun battles. In a variety of fantasy battlefields including grasslands, a dark world, and the ocean floor, players can control any of 3 types of characters: warrior, mage, and cleric. Cooperate with friends to enjoy action on the grand scale, casting magic spells, attacking castles, and so on. For off-line fun, the player can take on missions in the solo campaign mode.",61,7.0,"Happy Wars  is a free-to-play, online multiplayer, action tactical role-playing video game developed by Toylogic, available for Xbox One. It was originally released for the Xbox 360 on October 12, 2012 on the Xbox Live Arcade as its very first free-to-play title, and additionally for Microsoft Windows on May 28, 2014, but availability on the online marketplaces of these platforms and service to these platforms has since been discontinued as of December 17, 2018. The Xbox One version was released on April 24, 2015, and is now the only platform the game can be played on.",Action,"['Single-player', 'multiplayer']"
