,Title,platform,release_date,summary,meta_score,user_review
0,Protothea,Wii,2008-06-02,"[WiiWare] Protothea is a 3D top-down vertical scrolling shooter game putting players in complete control of a last-generation spaceship via the Wii Remote and Nunchuk. The easy-to-play game introduces new concepts to a beloved classic game style while mixing genres and utilizing the full capabilities of the Wii system, from graphics to controls. The storyline immerses players into an adventure where they need to destroy an asteroid called ""Maqno 01"" and sabotage the plans of a political faction called ""The Core."" Players quickly jump right in and guide their ship through multiple missions on futuristic planets where enemy AI is dynamic and changes based on the player's actions - so there are no predictable enemy paths, and therefore always a different game play experience. Players have a wide range of eight different air-to-air weapons and two different air-to-ground bombs at their disposal, and can attack however they choose. In addition, there is a special power that decelerates time, allowing players to easily avoid enemy fire while they are able to move rapidly and attack enemies. [Ubisoft]",40,tbd
1,The Adventures of Shuggy,Xbox 360,2011-06-15,"""The Adventures of Shuggy"" is part platformer, part puzzler, and 100 percent pure type-O negative fun. Shuggy boasts a suite of novel play mechanics that are mixed and matched throughout 116 unique single-player levels, each with their own clever twist.",77,8.2
2,Bust A Groove 2,PlayStation,1999-03-31,"In the tradition of Bust a Groove, Bust a Groove 2 is a captivating game about music, rhythm, dancing, style and competition. In Bust a Groove 2, you control one of 18 characters who compete in an epic dance-a-thon in dynamic dance venues around the world and the universe. Bust a Groove 2 has spectacular, fluid dance moves that allow even a casual gamer to become a natural dancer after just a few minutes.",66,8.6
3,Ogre Battle 64,Nintendo 64,2000-10-07,The Holy Lodis Empire is planning the domination of the entire continent of Zeteginia! It is up to you to raise the flag of revolution and rid the land of the Lodis threat. Make decisions in real-time and take control of numerous characters to prove victorious on the battlefield and regain freedom for all people!,82,8.9
4,Karaoke Revolution Volume 3,PlayStation 2,2004-11-09,"In response to popular demand, Karaoke Revolution 3 will let karaoke crooners sing with - and compete against - friends with the addition of duel microphone support and exciting new modes for two mic gameplay. In addition, Karaoke Revolution Volume 3 includes more than 35 new songs. Duets mode lets aspiring pop stars play as a team and shoot for high scores by singing along to classic karaoke duet tunes such as ""Under Pressure,"" ""Love Shack"" and ""Ain't No Mountain High Enough."" Players can even practice their separate parts and learn how to harmonize with each other to achieve the perfect score. For some friendly competition, two players can square off and take turns singing every other phrase in a song while joining together during the chorus in Sing-Off mode. The player with the most points at the end of the track wins. Knockout mode offers the fiercest karaoke battle yet, pitting players against each other while singing the same song in unison. A battle meter keeps track of the gamers' progress and when it fills up for one player, the other is knocked out! The collection of well-known tunes includes ""Beat It,"" ""Killing Me Softly,"" ""New York, New York"" and ""You're The One That I Want."" [Konami]",82,7.8
5,LEGO City Undercover,Wii U,2013-03-18,"Take on the role of Chase McCain, an undercover detective armed with clever disguises. Your mission is to stifle the dastardly Rex Fury and end his crime wave in LEGO City. As players run, drive and fly through the city, they’ll use the Wii U GamePad controller as a new law enforcement gadget. [Nintendo]",80,8.3
6,LEGO City Undercover,Switch,2017-04-04,"In LEGO City: Undercover developed by TT Games and published by Nintendo, players assume the identity of Chase McCain, an undercover detective armed with clever disguises. As players run, drive and even fly through the city, they'll use the Wii U GamePad as a map, communicator and indispensable crime scanner. This is the first time that the LEGO City play sets have come to life on a gaming platform and it's exclusively on the Wii U console.",78,7.9
7,LEGO City Undercover,Xbox One,2017-04-04,"In LEGO City: Undercover developed by TT Games and published by Nintendo, players assume the identity of Chase McCain, an undercover detective armed with clever disguises. As players run, drive and even fly through the city, they'll use the Wii U GamePad as a map, communicator and indispensable crime scanner. This is the first time that the LEGO City play sets have come to life on a gaming platform and it's exclusively on the Wii U console.",77,7.0
8,LEGO City Undercover,PlayStation 4,2017-04-04,"In LEGO City: Undercover developed by TT Games and published by Nintendo, players assume the identity of Chase McCain, an undercover detective armed with clever disguises. As players run, drive and even fly through the city, they'll use the Wii U GamePad as a map, communicator and indispensable crime scanner. This is the first time that the LEGO City play sets have come to life on a gaming platform and it's exclusively on the Wii U console.",77,7.4
9,Unreal Tournament (1999),PC,1999-11-30,"The stakes are high. On the one hand, fame, fortune, glory; on the other hand, death. Prove your skill in the arenas of the future, leading your team of computer-controlled ""bots"" to victory in the Grand Tournament, or compete with the best of the best via LAN or the Internet in seat-of-your-pants battles. While Unreal Tournament offers the finest in classic ""Deathmatch"" play, right out of the box you can compete in Team Deathmatch or Capture the Flag. Control strategic points on the map to rack up your score in Domination, or test your skills in Assault, as one team defends its base from the other. Each game type comes with its own special maps and rules, for never-ending variety and challenge. Add gameplay mutators such as Jump Match or InstaGib, and Unreal Tournament will keep your wits honed to a razor edge. [Infogrames]",92,9.0
10,NBA 2K21,Xbox Series X,2020-11-10,"NBA 2K21 is the latest title in the world-renowned, best-selling NBA 2K series, delivering an industry-leading sports video game experience. With extensive improvements upon its best-in-class graphics and gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything is Game.",80,4.8
11,NBA 2K21,PlayStation 5,2020-11-12,"With extensive improvements upon its best-in-class graphics and gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything is Game.",79,2.5
12,NBA 2K21,PlayStation 4,2020-09-04,"With extensive improvements upon its best-in-class graphics and gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything is Game.",68,0.8
13,NBA 2K21,Xbox One,2020-09-04,"With extensive improvements upon its best-in-class graphics and gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything is Game.",67,1.7
