,Title,platform,release_date,summary,meta_score,user_review,Wikipedia,Genre,Modes
0,Pokemon Mystery Dungeon: Explorers of Darkness,DS,2008-04-20,"In this pair of action-packed adventures, players journey as actual Pokemon through a fantastic land untouched by humans. Before the game starts, players take a test to help them figure out which of 16 Pokemon best represents their personalities. Players then experience their adventure through the eyes of a Pokemon as they explore the land and embark on an epic journey through time and darkness. They talk and team up with other Pokemon to set out on an epic voyage while navigating an endless array of randomly generated dungeons. More than 490 Pokemon populate these new games, guaranteeing strategic, intense battles and infinite possibilities, no matter which Pokemon players become. To widen their circle of Pokemon friends, Nintendo Wi-Fi Connection lets users engage in wireless rescue operations and send alerts to their friends via e-mail or mobile text message. [Nintendo]",59,8.5,"Pokémon Mystery Dungeon: Explorers of Time and Pokémon Mystery Dungeon: Explorers of Darkness are a matched pair of Pokémon games developed by Chunsoft and published by The Pokémon Company and Nintendo for the Nintendo DS. The two games were released in Japan in September 2007, and in North America and Europe in 2008. A third version, Pokémon Mystery Dungeon: Explorers of Sky, was released for the same hardware in 2009.
As a sequel to Pokémon Mystery Dungeon: Blue Rescue Team and Red Rescue Team, new features include the addition of Generation IV Pokémon, improved Wi-Fi functionality, and more touch-screen options. 491 of the 493 Pokémon are featured, as Shaymin and Arceus were not officially released at the time of the game's launch.
In terms of gameplay and premise, the Explorers installments are largely similar to their Rescue Team predecessors, where a human-turned-Pokémon joins an Exploration Society and explores shifting dungeons, fighting hostile Pokémon through turn-based combat. The games received praise for their storyline, soundtrack, and Wi-Fi functionality, but were criticized for repetitive gameplay. The three games had accumulated worldwide sales in excess of 5.9 million copies as of 2010, then 6.37 million copies after 2010.",Roguelike,['Single player']
1,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,2010-10-25,"Known as ZettaiHero Keikakuin Japan, Z.H.P. is the only turn based strategy RPG that allows you to create your own, one and only super hero to fight vicious(?) villains. Players can create a super hero literally from head to toe. If you wish to use drills instead of hands or wheels instead of legs you can do so by simply swapping out your body parts. Battle maps are all randomly generated for mad replay value and there are tons of character and secret base customization. Z.H.P. gives you the chance to relive your childhood fantasy of making your own superhero and superhero base.",81,9.7,"Z.H.P. Unlosing Ranger VS Darkdeath Evilman is a tactical role-playing roguelite video game developed and published by Nippon Ichi Software. It was first released for PlayStation Portable on March 11, 2010 in Japan, October 26 in North America, and November 3 in Europe. The game was later released for Nintendo Switch in Japan on March 31, 2022, and as part of the Prinny Presents NIS Classics Volume 2 compilation (alongside Makai Kingdom) worldwide on May 10. On the latter date a standalone Windows version was also released.The story, heavily inspired by tokusatsu, follows the exploits of the Main Character, an everyman silent protagonist who inherits the title of the superhero Absolute Victory Unlosing Ranger after the previous one, Pirohiko Ichimonji, is killed in a freak car accident. The new Unlosing Ranger must train to become strong enough to defeat Demon General Darkdeath Evilman and rescue Super Baby, the world’s prophesied savior, with the help of the instructor Etranger. Z.H.P. received positive reviews from critics, citing its enjoyable story and innovative gameplay.",Tactical role-playing game,['Single-player']
2,Elemental Gearbolt,PlayStation,1998-06-30,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace. One or two players can assume the identities of these Elementals as they crusade for an unknown master toward a climactic battle. The gripping story unfolds by means of heart-stopping fully-3D action levels interspersed with gorgeous hand-drawn animation scenes. This is the game for which VISA was invented--what are you waiting for?",76,tbd,"Elemental Gearbolt, full title Genseikyokō Seireikidōdan Elemental Gearbolt (幻世虚構 精霊機導弾 Elemental Gearbolt), is a light gun shooter for the Sony PlayStation. Developed by Alfa System, the game was published by Sony Computer Entertainment and released in Japan during holiday season of 1997. Working Designs licensed the game for the North American market and released it on June 30, 1998.
Elemental Gearbolt was critically well received due to its science fantasy setting, which is uncommon in light gun shooters, along with its incorporation of RPG elements, and particularly the artistry of its presentation. It features an orchestral soundtrack, and animated cutscenes directed by the anime director Rintaro.",Light gun shooter,"['Single-player', 'multiplayer']"
3,King Arthur,Xbox,2004-11-16,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",61,tbd,King Arthur is an action-adventure game based on the 2004 film of the same title.,Action-adventure,"['Single-player', 'multiplayer']"
4,King Arthur,GameCube,2004-11-18,"Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",60,tbd,King Arthur is an action-adventure game based on the 2004 film of the same title.,Action-adventure,"['Single-player', 'multiplayer']"
5,King Arthur,PlayStation 2,2004-11-17,"The King Arthur video game is inspired by the epic true story that gave rise to the King Arthur legend. The real story of King Arthur will be played out with intense battles, innovative combat and realistic environments. The game will immerse fans into the lush environments and vivid scenery from the feature film. Players take control of the motion picture's heroes – Arthur, Lancelot, Guinevere, Tristren or Bors – and utilize their unique skills as they embark on a perilous mission revealing the historic tale of the real Knights of the Round Table. Featuring single or cooperative play, combat on horseback and multiple mission types with diverse goals, the King Arthur video game will provide a cinematic action adventure experience of epic scale. [Konami]",59,8.3,King Arthur is an action-adventure game based on the 2004 film of the same title.,Action-adventure,"['Single-player', 'multiplayer']"
6,Rainswept,PC,2019-02-01,"Rainswept is an adventure game - A murder mystery dealing with themes of love, relationships and unresolved trauma.",67,6.8,"Barb Wire is a 1996 American superhero film based on the Dark Horse Comics character of the same name. It was directed by David Hogan, produced by Brad Wyman, and written by Chuck Pfarrer and Ilene Chaiken. The film stars Pamela Anderson in the title role, alongside Temuera Morrison, Victoria Rowell, Xander Berkeley, Udo Kier, and Steve Railsback. Although Barb Wire was panned by critics, it has attracted a cult following.",,[]
7,Seek and Destroy,PlayStation 2,2002-12-11,"Command over 100 tanks, all based on actual military models from around the world with this budget title. Customize and conquer. Choose from hundreds of parts and dozens of weapons, including missile launchers, amphibious rigs and even aerial combat gear. Take on 25 intense missions that take you from the frozen plains of Eastern Europe to the deserts of Africa. Engage in 2-player arena battles, surprizing mini-missions and fierce boss battles.",63,8.9,"Seek and Destroy, known in Japan as Shin Combat Choro Q (新コンバットチョロQ, Shin Konbatto Choro Q), is an action game for the PlayStation 2 released by Takara Co Ltd and published and licensed by Play it Ltd. It is a 1-2 player vehicular combat game, with over 100 tanks and over 100 upgrades to choose from. It Involves upgrading and customizing your tank to progress through the game and meet the specific needs of the mission/map,(including optional mini-games).",,[]
8,Kingdom Hearts HD 2.5 ReMIX,PlayStation 3,2014-12-02,KINGDOM HEARTS HD 2.5 ReMIX is an HD remastered compilation of KINGDOM HEARTS II FINAL MIX and KINGDOM HEARTS Birth by Sleep FINAL MIX.,81,8.9,"Kingdom Hearts HD 1.5 Remix is an HD remastered collection of the Kingdom Hearts series, developed by Square Enix originally for the PlayStation 3. It was revealed in September 2012 and released in Japan in March 2013, and North America, Australia and Europe in September 2013.
Kingdom Hearts HD 1.5 Remix includes both Kingdom Hearts Final Mix and Re:Chain of Memories in high-definition and with Trophy support. Additionally, the collection features a cinematic remake of Kingdom Hearts 358/2 Days, including high-definition cutscenes from the original game plus new scenes; the 358/2 Days cinematic also has Trophy support. Ideas for a remastered collection of Kingdom Hearts games were first revealed in August 2011, with the collection formally announced in September 2012. Kingdom Hearts Final Mix, in addition to being created from the ground up due to lost assets from the original game, had the most adjustments made to its gameplay, including adding Reaction Commands first introduced in Kingdom Hearts II and allowing the camera to be moved with the right thumb stick.
The collection was met to generally positive reviews. A second collection, Kingdom Hearts HD 2.5 Remix, was released in 2014 while a third collection, Kingdom Hearts HD 2.8 Final Chapter Prologue, was released in 2017. 1.5 Remix was released in a single, combined collection with 2.5 Remix on the PlayStation 4 on March 28, 2017, on the Xbox One on February 18, 2020, on Windows via Epic Games Store on March 30, 2021, and a cloud version of the game for Nintendo Switch was released on February 10, 2022.",Action role-playing,['Single-player']
9,Happy Wars,Xbox 360,2012-10-12,"Happy Wars is a casual multi-player action game in which a large number of players control comical characters in fun battles. In a variety of fantasy battlefields including grasslands, a dark world, and the ocean floor, players can control any of 3 types of characters: warrior, mage, and cleric. Cooperate with friends to enjoy action on the grand scale, casting magic spells, attacking castles, and so on. For off-line fun, the player can take on missions in the solo campaign mode.",61,7.0,"Happy Wars  is a free-to-play, online multiplayer, action tactical role-playing video game developed by Toylogic, available for Xbox One. It was originally released for the Xbox 360 on October 12, 2012 on the Xbox Live Arcade as its very first free-to-play title, and additionally for Microsoft Windows on May 28, 2014, but availability on the online marketplaces of these platforms and service to these platforms has since been discontinued as of December 17, 2018. The Xbox One version was released on April 24, 2015, and is now the only platform the game can be played on.",Action,"['Single-player', 'multiplayer']"
